Region,ItemType,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price
,None,Offline,M,11/30/2010,156861007,1/15/2011,7513,205.7
,None,Offline,M,7/23/2017,721496903,8/30/2017,5822,9.33
,None,Offline,L,5/7/2015,183943164,5/30/2015,1725,437.2
,None,Online,C,2/18/2012,692686116,3/9/2012,70,437.2
,None,Online,M,1/18/2013,866524589,2/19/2013,2737,47.45
,None,Offline,L,9/24/2016,744569909,10/23/2016,3637,109.28
,None,Online,H,7/5/2011,436245906,7/22/2011,3713,437.2
,None,Online,M,1/26/2017,571288907,2/12/2017,5938,9.33
,None,Online,L,7/11/2012,949747741,8/16/2012,317,651.21
,None,Offline,C,11/27/2015,991983735,1/12/2016,8886,81.73
,None,Offline,C,3/24/2012,188670718,3/31/2012,713,255.28
,None,Online,L,4/20/2010,350795018,6/2/2010,6896,651.21
,None,Offline,H,3/15/2016,659655463,3/29/2016,5565,152.58
,None,Online,M,5/15/2014,816863381,6/30/2014,6882,255.28
,None,Online,C,10/16/2016,594342601,10/16/2016,8038,152.58
,None,Offline,M,10/28/2013,284329450,11/2/2013,8257,109.28
,None,Online,C,10/20/2015,249372756,11/14/2015,3795,651.21
,None,Online,H,6/1/2011,472333848,7/7/2011,2937,154.06
,None,Offline,H,12/3/2016,106386554,12/8/2016,1000,47.45
,None,Online,C,10/15/2011,625017201,10/28/2011,5334,421.89
,None,Offline,C,8/10/2010,872024619,9/5/2010,318,154.06
,None,Online,C,11/27/2013,211520135,12/22/2013,2363,81.73
,None,Offline,L,11/29/2011,777927577,12/29/2011,4912,421.89
,None,Offline,C,1/21/2011,725983273,2/13/2011,3438,152.58
,None,Offline,M,1/23/2015,980736052,2/17/2015,447,152.58
,None,Offline,C,7/24/2013,287547242,8/13/2013,474,437.2
,None,Offline,L,3/9/2016,162090671,4/9/2016,5086,109.28
,None,Online,C,12/2/2010,840352666,1/14/2011,7883,205.7
,None,Offline,H,4/21/2013,828632056,5/21/2013,9494,437.2
,None,Online,H,3/28/2017,953540170,4/26/2017,2581,437.2
,None,Online,C,11/24/2013,312000834,12/11/2013,6835,152.58
,None,Online,L,8/30/2010,321250379,9/30/2010,3981,421.89
,None,Online,H,3/13/2012,668837630,5/1/2012,2773,651.21
,None,Offline,L,8/29/2016,662623918,9/8/2016,3997,47.45
,None,Online,L,11/27/2011,580783069,1/12/2012,5471,437.2
,None,Online,C,2/25/2017,321801412,4/11/2017,7044,205.7
,None,Online,L,1/14/2011,754477775,2/23/2011,5595,255.28
,None,Online,L,2/11/2011,567923486,3/5/2011,35,421.89
,None,Offline,L,1/27/2017,321562373,2/21/2017,6307,109.28
,None,Online,H,7/15/2014,195130765,8/27/2014,2384,9.33
,None,Online,L,9/5/2016,438677489,9/14/2016,3272,255.28
,None,Offline,L,1/13/2015,922563874,2/3/2015,6007,9.33
,None,Offline,M,7/20/2013,687463748,8/1/2013,4655,47.45
,None,Offline,M,3/31/2017,194363439,5/2/2017,5316,437.2
,None,Offline,H,4/10/2013,874561774,4/26/2013,1119,81.73
,None,Online,M,7/26/2012,179670083,8/10/2012,7225,651.21
,None,Offline,M,10/7/2015,131612193,10/23/2015,5828,152.58
,None,Offline,M,12/30/2016,572624433,1/20/2017,1149,205.7
,None,Offline,H,4/3/2015,515255630,4/21/2015,4446,437.2
,None,Offline,H,7/29/2010,392367112,8/10/2010,9003,205.7
,None,Offline,C,6/9/2015,707132709,7/23/2015,5137,152.58
,None,Online,H,1/31/2013,683038747,2/16/2013,5199,205.7
,None,Offline,L,5/2/2014,513884055,5/25/2014,8566,152.58
,None,Offline,L,12/3/2015,913779962,12/24/2015,6652,421.89
,None,Offline,H,11/10/2011,867150294,11/13/2011,7897,47.45
,None,Offline,C,5/14/2012,778731381,6/10/2012,2776,421.89
,None,Offline,C,5/20/2017,223572051,6/28/2017,8793,109.28
,None,Online,M,9/30/2012,197033631,11/18/2012,5485,255.28
,None,Offline,C,11/21/2011,864789950,11/22/2011,9419,81.73
,None,Offline,C,2/19/2014,212827336,3/1/2014,9193,81.73
,None,Offline,M,2/11/2016,797444617,3/5/2016,438,154.06
,None,Offline,L,7/1/2015,295253121,7/3/2015,815,668.27
,None,Online,M,10/27/2014,953176677,12/15/2014,5015,152.58
,None,Online,L,2/10/2010,138451611,3/7/2010,9763,651.21
,None,Online,C,5/22/2017,688626754,6/25/2017,8814,81.73
,None,Online,M,11/17/2015,561563432,12/28/2015,7953,152.58
,None,Online,M,5/15/2012,485435473,7/4/2012,9999,47.45
,None,Online,M,9/22/2014,808729207,10/19/2014,9799,651.21
,None,Online,C,12/5/2012,150243461,1/2/2013,9234,152.58
,None,Offline,C,3/9/2013,349089562,3/31/2013,2214,81.73
,None,Online,H,5/27/2011,614691340,6/10/2011,9682,205.7
,None,Online,M,2/14/2012,676785123,3/11/2012,4612,81.73
,None,Offline,L,3/2/2017,335419738,3/16/2017,7009,154.06
,None,Offline,C,4/13/2014,810956513,4/15/2014,8908,9.33
,None,Offline,L,3/16/2011,694069278,5/5/2011,9378,668.27
,None,Offline,M,9/26/2016,895744359,10/24/2016,9516,9.33
,None,Offline,H,4/1/2014,597280585,4/1/2014,7453,437.2
,None,Online,M,11/19/2010,400289285,12/31/2010,3350,255.28
,None,Offline,C,1/25/2011,976694285,2/7/2011,4398,668.27
,None,Offline,M,9/19/2012,818731915,11/1/2012,9823,668.27
,None,Online,H,1/14/2011,288951003,2/28/2011,5878,668.27
,None,Offline,L,6/4/2017,270212876,7/21/2017,850,205.7
,None,Online,C,4/13/2010,815691363,4/27/2010,56,421.89
,None,Offline,C,7/2/2014,698872792,7/29/2014,845,255.28
,None,Online,H,5/24/2014,563555991,5/27/2014,7596,205.7
,None,Online,M,6/25/2010,673852288,7/19/2010,6721,109.28
,None,Online,L,9/16/2015,464185512,9/24/2015,1663,9.33
,None,Offline,M,10/18/2013,789291989,11/26/2013,7894,421.89
,None,Offline,H,1/13/2016,774220550,2/18/2016,7920,421.89
,None,Offline,H,1/21/2012,964332520,2/24/2012,6277,205.7
,None,Offline,H,6/30/2011,175301730,7/5/2011,4532,437.2
,None,Offline,H,6/23/2017,443114507,7/29/2017,6284,154.06
,None,Online,L,4/3/2015,274069678,5/22/2015,2163,9.33
,None,Offline,M,11/14/2013,494778573,12/17/2013,4830,421.89
,None,Online,L,1/28/2012,202165019,2/8/2012,3977,421.89
,None,Online,C,4/1/2017,813465344,4/26/2017,1327,109.28
,None,Offline,M,5/4/2011,216228377,5/4/2011,5637,421.89
,None,Online,L,3/20/2015,418315446,4/17/2015,7691,255.28
,None,Online,H,9/27/2016,797900378,11/2/2016,5308,421.89
,None,Offline,M,5/30/2012,353469502,6/15/2012,8335,47.45
,None,Offline,C,2/25/2011,853821647,4/16/2011,3654,421.89
,None,Offline,M,5/18/2015,988068139,6/16/2015,174,47.45
,None,Online,M,3/16/2017,415632808,4/21/2017,3839,154.06
,None,Offline,C,5/25/2017,216251981,6/10/2017,2622,437.2
,None,Offline,H,12/26/2013,639974486,12/28/2013,1527,651.21
,None,Online,H,8/25/2013,657161653,10/6/2013,7591,421.89
,None,Offline,L,10/5/2012,208487308,10/24/2012,4882,437.2
,None,Offline,C,5/7/2016,654937779,6/8/2016,9498,668.27
,None,Online,L,7/22/2011,727811896,8/8/2011,4569,421.89
,None,Offline,C,11/21/2016,578720986,12/16/2016,5255,255.28
,None,Online,H,4/10/2010,429588878,5/23/2010,3750,154.06
,None,Offline,H,2/17/2016,122651898,3/10/2016,4277,81.73
,None,Offline,H,9/22/2010,470458877,9/24/2010,8091,255.28
,None,Offline,M,10/27/2016,105871140,12/3/2016,8478,421.89
,None,Online,M,8/8/2016,432062518,8/24/2016,5755,47.45
,None,Offline,C,1/13/2016,672519338,2/27/2016,2272,9.33
,None,Offline,L,10/13/2010,121040427,10/28/2010,7407,437.2
,None,Online,C,9/24/2012,391737115,10/29/2012,2572,9.33
,None,Online,C,11/22/2015,469033229,1/7/2016,6210,154.06
,None,Offline,C,5/7/2015,757665097,5/14/2015,8794,109.28
,None,Offline,H,1/8/2011,832681548,1/22/2011,7829,205.7
,None,Offline,H,6/26/2011,789443910,7/22/2011,2851,421.89
,None,Offline,H,1/3/2015,793626010,2/13/2015,427,81.73
,None,Online,L,5/11/2013,631214177,5/28/2013,9157,154.06
,None,Online,C,9/23/2010,158507239,9/29/2010,4669,255.28
,None,Online,L,5/13/2012,652116525,6/1/2012,4626,81.73
,None,Online,C,3/27/2013,758965861,4/3/2013,3719,205.7
,None,Offline,L,12/7/2016,546291577,1/9/2017,8672,154.06
,None,Online,L,10/6/2016,151642501,11/25/2016,3241,9.33
,None,Offline,C,9/2/2014,232879960,9/24/2014,3210,421.89
,None,Offline,L,6/10/2017,618177783,6/14/2017,1398,152.58
,None,Online,M,3/21/2010,756022298,4/2/2010,2653,152.58
,None,Offline,L,4/13/2013,165212333,4/15/2013,8855,47.45
,None,Offline,M,2/11/2010,684859216,3/26/2010,3916,81.73
,None,Offline,L,10/8/2011,624386775,11/16/2011,8777,9.33
,None,Offline,L,3/21/2015,613531339,4/3/2015,6412,205.7
,None,Offline,C,9/16/2014,452341735,10/8/2014,6826,154.06
,None,Online,C,2/17/2013,461179292,3/27/2013,2056,205.7
,None,Online,L,8/27/2010,130717837,9/16/2010,1168,421.89
,None,Online,M,1/29/2016,371943700,3/12/2016,5261,154.06
,None,Online,H,10/7/2012,366155707,10/23/2012,2465,668.27
,None,Offline,L,6/11/2015,714965188,6/26/2015,2942,437.2
,None,Offline,H,5/21/2013,290295970,5/25/2013,3883,109.28
,None,Online,C,2/2/2012,284384381,2/10/2012,4513,152.58
,None,Online,C,4/26/2014,159779250,6/8/2014,1086,437.2
,None,Offline,M,5/2/2016,799341905,6/6/2016,1888,205.7
,None,Offline,C,9/7/2011,456246173,9/7/2011,2236,9.33
,None,Online,H,2/10/2010,603978383,3/1/2010,9480,109.28
,None,Offline,C,1/28/2011,986337363,2/6/2011,7999,255.28
,None,Online,M,2/6/2015,967434442,2/7/2015,4205,205.7
,None,Online,C,5/29/2012,881693446,6/13/2012,1539,437.2
,None,Online,C,1/4/2017,683850705,2/6/2017,5475,9.33
,None,Online,H,6/25/2017,398955047,7/20/2017,8519,651.21
,None,Online,L,1/10/2011,572367799,2/5/2011,5206,9.33
,None,Offline,H,11/7/2014,919762790,11/14/2014,7103,152.58
,None,Online,M,12/6/2016,777126348,12/12/2016,7811,668.27
,None,Online,L,2/7/2010,450757300,3/25/2010,7957,81.73
,None,Online,C,12/23/2010,767266976,1/5/2011,204,47.45
,None,Offline,C,9/23/2010,823579204,10/28/2010,4243,651.21
,None,Online,C,9/26/2016,236930310,11/14/2016,1799,437.2
,None,Offline,C,12/14/2010,494869124,1/14/2011,1626,109.28
,None,Offline,L,3/30/2014,905256974,4/22/2014,4510,154.06
,None,Offline,C,6/23/2014,846267688,6/27/2014,8270,205.7
,None,Offline,C,9/19/2015,216387593,10/4/2015,2752,255.28
,None,Offline,H,9/28/2011,784415519,11/5/2011,4838,9.33
,None,Offline,L,7/17/2012,339462792,7/30/2012,3439,81.73
,None,Offline,M,3/28/2010,340953242,4/22/2010,4496,205.7
,None,Online,C,2/26/2013,968623197,3/15/2013,5984,9.33
,None,Offline,H,10/7/2011,672521483,10/30/2011,2907,205.7
,None,Offline,H,9/25/2012,223009431,11/5/2012,2301,255.28
,None,Online,L,6/13/2012,460760867,6/16/2012,8235,81.73
,None,Online,L,12/4/2015,946762120,12/13/2015,6805,154.06
,None,Offline,M,4/24/2010,412312018,6/10/2010,1144,668.27
,None,Online,L,2/11/2014,809021890,2/24/2014,6410,109.28
,None,Online,H,10/30/2012,558815562,12/17/2012,4798,255.28
,None,Offline,H,9/26/2015,403929364,9/27/2015,530,154.06
,None,Offline,M,3/30/2014,256912124,4/13/2014,4861,205.7
,None,Offline,C,12/20/2015,550625169,1/28/2016,1078,205.7
,None,Online,H,9/2/2010,888242328,9/18/2010,9498,154.06
,None,Offline,L,11/18/2011,493249928,11/19/2011,2470,421.89
,None,Online,C,4/11/2015,459446799,5/17/2015,9373,668.27
,None,Offline,M,1/5/2010,600944268,1/31/2010,1618,437.2
,None,Offline,L,10/29/2012,802166163,11/15/2012,7649,152.58
,None,Offline,H,3/23/2011,567848813,4/7/2011,7937,205.7
,None,Online,C,9/14/2012,373041045,10/1/2012,9990,421.89
,None,Online,M,9/9/2010,313104188,10/11/2010,3342,9.33
,None,Offline,C,1/10/2011,553712069,1/17/2011,4561,152.58
,None,Offline,L,1/19/2013,880851018,1/21/2013,2246,154.06
,None,Offline,M,5/21/2013,250819861,6/7/2013,2026,47.45
,None,Online,C,4/13/2017,840229928,4/27/2017,1562,81.73
,None,Offline,L,2/15/2012,396005046,3/31/2012,5548,421.89
,None,Offline,H,8/28/2016,785381543,9/17/2016,706,154.06
,None,Online,L,8/12/2016,345908248,9/25/2016,792,205.7
,None,Online,L,12/8/2013,635446488,1/9/2014,1592,651.21
,None,Online,H,5/31/2015,582170093,7/7/2015,5922,255.28
,None,Online,L,10/4/2013,534565389,10/30/2013,8633,651.21
,None,Online,L,2/8/2014,911431205,2/12/2014,1602,9.33
,None,Online,M,2/2/2015,851878869,3/15/2015,8743,152.58
,None,Offline,M,8/10/2012,465332210,9/22/2012,996,81.73
,None,Offline,H,3/20/2011,381527554,4/17/2011,1337,109.28
,None,Offline,M,9/21/2012,400513732,9/28/2012,9768,81.73
,None,Online,M,6/16/2012,842652070,6/16/2012,8328,437.2
,None,Online,H,7/30/2010,298616397,8/17/2010,6083,421.89
,None,Offline,C,11/22/2015,579393041,12/26/2015,4131,81.73
,None,Offline,L,10/5/2011,866280829,10/14/2011,603,651.21
,None,Offline,H,11/26/2012,860891091,12/14/2012,5660,81.73
,None,Offline,C,3/6/2016,335147655,3/29/2016,6494,255.28
,None,Online,L,12/6/2011,481286847,12/8/2011,2328,437.2
,None,Online,C,7/1/2010,761857497,7/20/2010,9418,152.58
,None,Online,L,9/20/2015,259720933,9/20/2015,6050,154.06
,None,Offline,H,7/23/2013,828050982,8/7/2013,7542,437.2
,None,Offline,L,10/8/2013,340333974,11/17/2013,1241,668.27
,None,Online,L,10/22/2015,340368735,12/5/2015,1527,205.7
,None,Online,L,8/14/2012,192266595,8/21/2012,4813,81.73
,None,Offline,M,2/25/2017,230451381,2/25/2017,4540,154.06
,None,Online,C,2/15/2013,409659421,2/20/2013,6181,9.33
,None,Online,M,10/30/2011,754939544,12/11/2011,2242,651.21
,None,Online,M,6/21/2010,911653077,8/6/2010,7259,81.73
,None,Online,M,2/8/2011,595473849,3/18/2011,2800,668.27
,None,Offline,H,11/11/2016,942388188,11/16/2016,2462,9.33
,None,Offline,H,12/31/2012,458694922,1/21/2013,6876,205.7
,None,Online,C,2/17/2016,871005380,3/11/2016,8702,81.73
,None,Offline,M,6/4/2017,376243388,7/10/2017,7634,651.21
,None,Online,C,9/11/2016,391645276,10/30/2016,5395,152.58
,None,Offline,L,1/14/2011,604759871,2/22/2011,740,9.33
,None,Online,H,9/29/2013,323448503,11/15/2013,4454,109.28
,None,Online,H,9/6/2012,725884997,9/7/2012,4356,109.28
,None,Offline,C,12/2/2011,810555684,1/15/2012,294,437.2
,None,Offline,C,10/20/2012,546259391,10/23/2012,9148,205.7
,None,Offline,H,3/7/2010,422107446,4/2/2010,9828,651.21
,None,Online,C,4/25/2011,997523677,6/6/2011,8278,255.28
,None,Online,H,12/17/2016,652244412,2/2/2017,2471,81.73
,None,Online,M,1/6/2010,536318480,1/29/2010,7411,47.45
,None,Offline,H,4/18/2012,520107209,5/5/2012,136,81.73
,None,Offline,L,8/10/2012,544284427,8/26/2012,4712,9.33
,None,Offline,L,12/22/2015,169836461,1/7/2016,7238,437.2
,None,Offline,L,2/10/2017,828062140,2/13/2017,844,47.45
,None,Online,C,10/24/2011,870572793,11/23/2011,690,668.27
,None,Offline,M,11/11/2015,519292247,12/12/2015,8971,152.58
,None,Offline,L,10/25/2015,516456830,11/3/2015,9908,9.33
,None,Offline,C,8/29/2010,774615371,9/3/2010,4757,154.06
,None,Online,L,8/3/2015,826629197,8/23/2015,6804,152.58
,None,Online,H,10/12/2012,275672137,11/27/2012,6366,152.58
,None,Online,C,10/11/2015,145230519,11/16/2015,5793,255.28
,None,Online,M,9/2/2012,629103171,10/6/2012,4463,154.06
,None,Online,H,5/6/2015,641401422,6/21/2015,3789,9.33
,None,Offline,C,3/28/2010,966549098,4/13/2010,2212,81.73
,None,Offline,C,2/24/2015,209282529,2/25/2015,206,668.27
,None,Online,C,11/10/2014,644650542,12/29/2014,5276,437.2
,None,Offline,L,5/15/2010,568014466,5/31/2010,6958,9.33
,None,Offline,C,2/3/2015,145048129,2/4/2015,1820,9.33
,None,Online,H,3/21/2013,961737859,4/5/2013,8459,421.89
,None,Online,M,7/8/2016,174382483,7/14/2016,2507,255.28
,None,Online,M,2/5/2015,859593331,3/15/2015,1624,152.58
,None,Online,C,6/27/2011,764294230,7/6/2011,502,437.2
,None,Offline,C,11/8/2016,855721509,12/13/2016,5865,81.73
,None,Online,H,12/8/2016,371423995,12/24/2016,1469,437.2
,None,Offline,C,9/3/2013,869263017,9/22/2013,3098,421.89
,None,Online,C,11/9/2013,377412402,12/27/2013,3572,154.06
,None,Offline,H,3/13/2010,144358479,3/30/2010,7737,9.33
,None,Offline,H,5/29/2015,588900077,7/3/2015,7474,109.28
,None,Offline,M,12/18/2012,850148522,1/5/2013,6695,9.33
,None,Online,M,12/3/2013,137527644,12/26/2013,6341,437.2
,None,Online,H,4/4/2015,880773770,4/25/2015,9386,668.27
,None,Online,H,3/19/2011,179935729,4/8/2011,5836,205.7
,None,Offline,H,4/3/2012,155374848,5/15/2012,7725,651.21
,None,Online,C,12/22/2010,297764956,2/6/2011,4122,109.28
,None,Online,L,3/5/2016,618092381,3/9/2016,6126,205.7
,None,Online,M,3/23/2011,297655951,4/23/2011,1865,9.33
,None,Online,C,11/2/2010,838066995,12/21/2010,1502,205.7
,None,Online,L,11/15/2011,211249339,12/6/2011,2229,651.21
,None,Online,C,3/30/2012,509439313,4/23/2012,3268,668.27
,None,Online,C,9/22/2014,295185744,10/15/2014,876,668.27
,None,Offline,C,7/30/2015,451349961,9/14/2015,3338,668.27
,None,Online,C,11/28/2015,131105792,12/5/2015,5972,154.06
,None,Online,L,4/30/2010,807939565,6/8/2010,6126,109.28
,None,Online,C,6/9/2013,425650107,6/15/2013,8181,651.21
,None,Online,H,8/12/2010,148348748,9/23/2010,8546,9.33
,None,Offline,H,10/19/2014,310459315,11/1/2014,665,668.27
,None,Offline,H,4/15/2017,866718137,4/20/2017,12,651.21
,None,Online,H,3/23/2014,942174041,4/30/2014,9091,668.27
,None,Offline,M,5/21/2010,182188355,7/4/2010,2438,205.7
,None,Offline,C,5/29/2015,102434909,7/15/2015,1621,668.27
,None,Online,M,4/8/2017,938900029,5/11/2017,238,255.28
